county,county_fips,state_id,state_name,lat,lng,population
Coal,40029,OK,Oklahoma,34.5882,-96.2978,5577
Lander,32015,NV,Nevada,39.9338,-117.0379,5565
Morris,20127,KS,Kansas,38.6874,-96.6499,5551
McCook,46087,SD,South Dakota,43.6743,-97.3685,5543
Fillmore,31059,NE,Nebraska,40.5247,-97.5965,5542
Audubon,19009,IA,Iowa,41.6846,-94.9058,5528
Mahnomen,27087,MN,Minnesota,47.3253,-95.8091,5508
Harper,20077,KS,Kansas,37.1916,-98.0754,5506
Stevens,20189,KS,Kansas,37.1923,-101.3121,5498
Washington,20201,KS,Kansas,39.7842,-97.0875,5474
Day,46037,SD,South Dakota,45.3671,-97.6074,5452
Tripp,46123,SD,South Dakota,43.3459,-99.884,5448
Hansford,48195,TX,Texas,36.2774,-101.3546,5431
Walworth,46129,SD,South Dakota,45.43,-100.0315,5431
Norton,20137,KS,Kansas,39.7844,-99.9035,5416
Pulaski,17153,IL,Illinois,37.2232,-89.1266,5414
Emporia,51595,VA,Virginia,36.6953,-77.5356,5408
Cook,27031,MN,Minnesota,47.9026,-90.5351,5402
Stark,17175,IL,Illinois,41.0934,-89.7974,5393
Lincoln,16063,ID,Idaho,43.0024,-114.1383,5342
Beaver,40007,OK,Oklahoma,36.7497,-100.4768,5326
Yukon-Koyukuk,2290,AK,Alaska,65.5087,-151.3896,5305
Phillips,20147,KS,Kansas,39.7846,-99.347,5297
Delta,48119,TX,Texas,33.3863,-95.6723,5277
Warren,13301,GA,Georgia,33.4089,-82.6767,5259
Ransom,38073,ND,North Dakota,46.4562,-97.6574,5258
Brule,46015,SD,South Dakota,43.7181,-99.0809,5233
Boone,31011,NE,Nebraska,41.7068,-98.0673,5228
Schley,13249,GA,Georgia,32.2616,-84.3147,5215
Sheridan,31161,NE,Nebraska,42.5048,-102.4089,5215
Polk,31143,NE,Nebraska,41.1869,-97.5684,5208
Wheeler,48483,TX,Texas,35.4013,-100.2698,5187
Jim Hogg,48247,TX,Texas,27.0434,-98.6973,5187
Atchison,29005,MO,Missouri,40.4308,-95.4281,5180
